property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,Area Type,Area Size,Area Category
17289698,10045,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_31_villa_available_for_sale_in_near_park-17289698-10045-1.html,House,8900000,Bahria Town Karachi,Karachi,Sindh,25.113565,67.353811,3,9.4 Marla,For Sale,3,07-16-2019,Jaidad Group,Muhammad Rizwan,Marla,9.4,5-10 Marla
14572030,4426,https://www.zameen.com/Property/lahore_sunfort_gardens_home_is_available_for_sale-14572030-4426-1.html,House,11800000,Sunfort Gardens,Lahore,Punjab,31.446239,74.252808,5,5 Marla,For Sale,4,02-03-2019,,,Marla,5.0,0-5 Marla
11502188,534,https://www.zameen.com/Property/faisalabad_satiana_road_2_double_storey_house_for_sale-11502188-534-1.html,House,6500000,Satiana Road,Faisalabad,Punjab,31.37861,73.129245,4,3 Marla,For Sale,4,07-17-2019,,,Marla,3.0,0-5 Marla
17066591,9031,https://www.zameen.com/Property/bahria_town_precinct_2_bahria_homes_iqbal_villas_iqbal_villa_is_available_for_sale-17066591-9031-1.html,House,15000000,Bahria Town Karachi,Karachi,Sindh,25.009119,67.307179,3,6 Marla,For Sale,3,07-02-2019,Makkah Associates,Faheem,Marla,6.0,5-10 Marla
17219522,3337,https://www.zameen.com/Property/g_13_g_13_1_4_marla_ground_portion_for_rent_in_g_13_islamabad-17219522-3337-4.html,Lower Portion,28000,G-13,Islamabad,Islamabad Capital,33.645586341465,72.960884132565,3,4.4 Marla,For Rent,2,07-16-2019,M. M Real Estate,M. Mujahid,Marla,4.4,0-5 Marla
17080759,8446,https://www.zameen.com/Property/lahore_bismillah_housing_scheme_house_for_sale_-17080759-8446-1.html,House,5500000,Bismillah Housing Scheme,Lahore,Punjab,31.598386,74.48082099999999,3,3 Marla,For Sale,3,07-03-2019,Mian Real Estate,Jamshed Malik,Marla,3.0,0-5 Marla
16342017,1503,https://www.zameen.com/Property/askari_askari_11_sd_house_for_sale_in_askari_11-16342017-1503-1.html,House,21000000,Askari,Lahore,Punjab,31.460187,74.432459,1,10 Marla,For Sale,4,07-01-2019,Paramount Property Solutions,Mr. Shan,Marla,10.0,5-10 Marla
12468757,6838,https://www.zameen.com/Property/gulistan_e_jauhar_gulistan_e_jauhar_block_14_house_for_sale_ground_plus_tow_brand_new_in_gulistan_e_jauhar-12468757-6838-1.html,House,45000000,Gulistan-e-Jauhar,Karachi,Sindh,24.920384,67.129162,8,9.6 Marla,For Sale,7,10-20-2018,Pak Associates,Ashfaq Shah,Marla,9.6,5-10 Marla
17024929,6862,https://www.zameen.com/Property/gulshan_e_iqbal_gulshan_e_iqbal_block_2_new_2_bedroom_flat_for_rent_at_prime_location-17024929-6862-4.html,Flat,32000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.924038,67.087233,2,4 Marla,For Rent,2,07-04-2019,,,Marla,4.0,0-5 Marla
11598358,634,https://www.zameen.com/Property/lahore_wahdat_road_3_5_marla_double_storey_house_for_sale_on_wahdat_road_near_multan_chungi-11598358-634-1.html,House,6500000,Wahdat Road,Lahore,Punjab,31.506008,74.29315600000001,5,3.5 Marla,For Sale,5,08-07-2018,,,Marla,3.5,0-5 Marla
16959316,10007,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_1_house_is_available_for_sale-16959316-10007-1.html,House,35000000,Bahria Town Karachi,Karachi,Sindh,24.998516,67.310472,0,10 Marla,For Sale,0,06-27-2019,Edhi Properties,EDHI PROPERTIES,Marla,10.0,5-10 Marla
15432255,1671,https://www.zameen.com/Property/clifton_clifton_block_9_out_class_apartment_available_for_sale_at_clifton_block_9-15432255-1671-1.html,Flat,24500000,Clifton,Karachi,Sindh,24.826625,67.03792299999999,3,10 Marla,For Sale,3,04-09-2019,,,Marla,10.0,5-10 Marla
16957928,478,https://www.zameen.com/Property/rawalpindi_adiala_road_6_25_marla_height_view_plot__snober_city_adiala_road-16957928-478-1.html,House,2600000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,6 Marla,For Sale,0,06-27-2019,Pakistan Property,Mirza Nafees Anjum,Marla,6.0,5-10 Marla
17061976,6858,https://www.zameen.com/Property/karachi_gulshan_e_iqbal_town_cc20_350_yard_bungalow_g1_for_sale-17061976-6858-1.html,House,65000000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.898465,67.0625,5,14 Marla,For Sale,5,07-02-2019,Continental Estate Services,Danial Mustafa,Marla,14.0,10-15 Marla
14594059,6043,https://www.zameen.com/Property/satellite_town_satellite_town_block_d_huge_portion_available_for_rent-14594059-6043-4.html,Upper Portion,60000,Satellite Town,Rawalpindi,Punjab,33.641205,73.06577,0,14 Marla,For Rent,0,02-17-2019,,,Marla,14.0,10-15 Marla
14828031,6831,https://www.zameen.com/Property/gulistan_e_jauhar_gulistan_e_jauhar_block_7_upper_portion_is_available_for_rent-14828031-6831-4.html,Upper Portion,40000,Gulistan-e-Jauhar,Karachi,Sindh,24.93591,67.152597,3,4.8 Marla,For Rent,3,02-18-2019,The Property Managers,Zubair Khan,Marla,4.8,0-5 Marla
14852635,4307,https://www.zameen.com/Property/wapda_town_wapda_town_phase_1_best_option_to_buy_house_in_wapda_town_best_locality_in_range-14852635-4307-1.html,House,20000000,Wapda Town,Lahore,Punjab,31.430421000000003,74.267721,8,10 Marla,For Sale,8,03-05-2019,,,Marla,10.0,5-10 Marla
14230360,1410,https://www.zameen.com/Property/lahore_dha_11_rahbar_5_marla_is_available_for_sale_in_dha_rahbar_11-14230360-1410-1.html,House,10500000,DHA 11 Rahbar,Lahore,Punjab,31.390644073486,74.252883911133,4,5 Marla,For Sale,3,02-03-2019,,,Marla,5.0,0-5 Marla
17256514,10018,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_10_villa_is_available_for_rent-17256514-10018-4.html,House,35000,Bahria Town Karachi,Karachi,Sindh,25.058062,67.306626,3,8 Marla,For Rent,3,07-12-2019,Real Investment Consultants,Boez Ayub,Marla,8.0,5-10 Marla
15420908,1451,https://www.zameen.com/Property/dha_defence_dha_phase_8_luxuries_designed__10_marla_bungalow_for_sale-15420908-1451-1.html,House,27000000,DHA Defence,Lahore,Punjab,31.494408,74.43766600000001,5,10 Marla,For Sale,4,06-28-2019,Richmoor Real Estate,Faisal Aslam,Marla,10.0,5-10 Marla
13576123,4380,https://www.zameen.com/Property/lahore_wafaqi_colony_pha_flat_for_sale-13576123-4380-1.html,Flat,3500000,Wafaqi Colony,Lahore,Punjab,31.476585,74.27435200000001,2,3.1 Marla,For Sale,2,12-05-2018,,,Marla,3.1,0-5 Marla
16905540,163,https://www.zameen.com/Property/islamabad_f_11_the_best_portion_for_living_purpose-16905540-163-4.html,Upper Portion,130000,F-11,Islamabad,Islamabad Capital,33.683532,72.99041,3,1.3 Kanal,For Rent,3,06-27-2019,Al Qadir Associates,Muhammad Azam,Kanal,1.3,1-5 Kanal
9374034,10984,https://www.zameen.com/Property/karachi_garden_west_2_bed_common_west_open_4th_floor_flat_but_not_top_floor_garden_west-9374034-10984-1.html,Flat,3200000,Garden West,Karachi,Sindh,24.873806,67.016224,2,3.2 Marla,For Sale,2,07-18-2019,,,Marla,3.2,0-5 Marla
17153393,166,https://www.zameen.com/Property/islamabad_f_8_5_bed_house_for_rent_in_f8-17153393-166-4.html,House,300000,F-8,Islamabad,Islamabad Capital,33.713131,73.038383,6,1.2 Kanal,For Rent,5,07-12-2019,,,Kanal,1.2,1-5 Kanal
16944100,278,https://www.zameen.com/Property/karachi_nazimabad_1st_floor_portion_is_available_for_sale-16944100-278-1.html,Upper Portion,6000000,Nazimabad,Karachi,Sindh,24.916721,67.031622,0,4.9 Marla,For Sale,2,06-28-2019,Al Noor Enterprises,Naveed Shahzad,Marla,4.9,0-5 Marla
8335545,168,https://www.zameen.com/Property/islamabad_g_11_g_11_real_pic_101_tower__beautiful_apartment_for_rent_2_bed_marble_flooring-8335545-168-4.html,Flat,40000,G-11,Islamabad,Islamabad Capital,33.669533,73.00008000000001,0,5.6 Marla,For Rent,2,06-13-2019,FA Property,M Atif Ch,Marla,5.6,5-10 Marla
13736765,7217,https://www.zameen.com/Property/north_nazimabad_north_nazimabad_block_i_demolished_house_is_available_for_sale-13736765-7217-1.html,House,30000000,North Nazimabad,Karachi,Sindh,24.948943,67.045097,0,10.6 Marla,For Sale,0,07-03-2019,Supreme Estate,Rashid,Marla,10.6,10-15 Marla
17113869,1006,https://www.zameen.com/Property/lahore_pak_arab_housing_society_house_is_available_for_sale-17113869-1006-1.html,House,24500000,Pak Arab Housing Society,Lahore,Punjab,31.432105,74.349117,0,10 Marla,For Sale,5,07-04-2019,R. W Estate & Builders,Rana Waseem,Marla,10.0,5-10 Marla
10063310,4449,https://www.zameen.com/Property/lahore_youhanabad_brand_new_double_storey_house_is_available_for_sale-10063310-4449-1.html,House,3500000,Youhanabad,Lahore,Punjab,31.411377,74.36525300000001,0,3 Marla,For Sale,0,07-03-2019,,,Marla,3.0,0-5 Marla
17132116,3471,https://www.zameen.com/Property/naval_anchorage_naval_anchorage_block_e_portion_is_available_for_rent-17132116-3471-4.html,Upper Portion,50000,Naval Anchorage,Islamabad,Islamabad Capital,33.565464,73.199236,0,1 Kanal,For Rent,3,07-03-2019,Mufti Estate & Builders,Rohail Mufti,Kanal,1.0,1-5 Kanal
17210873,3548,https://www.zameen.com/Property/architects_engineers_housing_society_architects_engineers_society_block_d_double_storey_brand_new_house_is_available_for_sale-17210873-3548-1.html,House,45000000,Architects Engineers Housing Society,Lahore,Punjab,31.442541,74.263072,5,1 Kanal,For Sale,5,07-11-2019,Rasool Estate & Builders,Rana Ibrar,Kanal,1.0,1-5 Kanal
17144032,1615,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_block_f_cost_price_brand_new_bungalow_for_sale_best_location_hot_offer-17144032-1615-1.html,House,40000000,DHA Defence,Lahore,Punjab,31.467105,74.459581,6,1 Kanal,For Sale,5,07-03-2019,Harmain Real Estate & Builders,MALIK ZULQARNAIN,Kanal,1.0,1-5 Kanal
17144393,3353,https://www.zameen.com/Property/g_15_jammu_kashmir_housing_society_flat_is_available_for_sale_in_g_15__jammu_and_kashmir_housing_society_owner-17144393-3353-1.html,Flat,2200000,G-15,Islamabad,Islamabad Capital,33.630057,72.927146,2,2.4 Marla,For Sale,2,07-10-2019,,,Marla,2.4,0-5 Marla
13036549,7205,https://www.zameen.com/Property/north_nazimabad_paposh_nagar_portion_available_for_rent-13036549-7205-4.html,Upper Portion,25000,North Nazimabad,Karachi,Sindh,24.922481,67.020292,2,4.8 Marla,For Rent,2,11-20-2018,,,Marla,4.8,0-5 Marla
12655499,282,https://www.zameen.com/Property/karachi_north_karachi_house_is_available_for_sale-12655499-282-1.html,House,13000000,North Karachi,Karachi,Sindh,24.972286,67.0663,4,4.8 Marla,For Sale,4,10-20-2018,,,Marla,4.8,0-5 Marla
12919846,6760,https://www.zameen.com/Property/gulshan_e_maymar_gulshan_e_maymar_sector_x_stylish_beautiful_1854_sq_feet_single_storey_bungalow_for_sale-12919846-6760-1.html,House,14000000,Gadap Town,Karachi,Sindh,25.022481,67.129082,0,8.2 Marla,For Sale,0,04-06-2019,Altamash Estate & Construction,Syed Altamash Ahmed,Marla,8.2,5-10 Marla
